seq_page_links;value;links_to_law_details
http://parlament.ba/oLaw/GetOLawsByStatus?page=1&MandateId=4&Status=-1;/olaw/OLawDetails?lawId=61794;http://parlament.ba/olaw/OLawDetails?lawId=61794
http://parlament.ba/oLaw/GetOLawsByStatus?page=1&MandateId=4&Status=-1;/olaw/OLawDetails?lawId=61566;http://parlament.ba/olaw/OLawDetails?lawId=61566
http://parlament.ba/oLaw/GetOLawsByStatus?page=1&MandateId=4&Status=-1;/olaw/OLawDetails?lawId=61565;http://parlament.ba/olaw/OLawDetails?lawId=61565
http://parlament.ba/oLaw/GetOLawsByStatus?page=1&MandateId=4&Status=-1;/olaw/OLawDetails?lawId=61443;http://parlament.ba/olaw/OLawDetails?lawId=61443
http://parlament.ba/oLaw/GetOLawsByStatus?page=1&MandateId=4&Status=-1;/olaw/OLawDetails?lawId=61425;http://parlament.ba/olaw/OLawDetails?lawId=61425
http://parlament.ba/oLaw/GetOLawsByStatus?page=1&MandateId=4&Status=-1;/olaw/OLawDetails?lawId=61422;http://parlament.ba/olaw/OLawDetails?lawId=61422
http://parlament.ba/oLaw/GetOLawsByStatus?page=1&MandateId=4&Status=-1;/olaw/OLawDetails?lawId=61404;http://parlament.ba/olaw/OLawDetails?lawId=61404
http://parlament.ba/oLaw/GetOLawsByStatus?page=1&MandateId=4&Status=-1;/olaw/OLawDetails?lawId=61221;http://parlament.ba/olaw/OLawDetails?lawId=61221
http://parlament.ba/oLaw/GetOLawsByStatus?page=1&MandateId=4&Status=-1;/olaw/OLawDetails?lawId=60882;http://parlament.ba/olaw/OLawDetails?lawId=60882
http://parlament.ba/oLaw/GetOLawsByStatus?page=1&MandateId=4&Status=-1;/olaw/OLawDetails?lawId=60881;http://parlament.ba/olaw/OLawDetails?lawId=60881
http://parlament.ba/oLaw/GetOLawsByStatus?page=2&MandateId=4&Status=-1;/olaw/OLawDetails?lawId=60835;http://parlament.ba/olaw/OLawDetails?lawId=60835
http://parlament.ba/oLaw/GetOLawsByStatus?page=2&MandateId=4&Status=-1;/olaw/OLawDetails?lawId=60703;http://parlament.ba/olaw/OLawDetails?lawId=60703
http://parlament.ba/oLaw/GetOLawsByStatus?page=2&MandateId=4&Status=-1;/olaw/OLawDetails?lawId=60675;http://parlament.ba/olaw/OLawDetails?lawId=60675
http://parlament.ba/oLaw/GetOLawsByStatus?page=2&MandateId=4&Status=-1;/olaw/OLawDetails?lawId=60646;http://parlament.ba/olaw/OLawDetails?lawId=60646
http://parlament.ba/oLaw/GetOLawsByStatus?page=2&MandateId=4&Status=-1;/olaw/OLawDetails?lawId=60513;http://parlament.ba/olaw/OLawDetails?lawId=60513
http://parlament.ba/oLaw/GetOLawsByStatus?page=2&MandateId=4&Status=-1;/olaw/OLawDetails?lawId=60484;http://parlament.ba/olaw/OLawDetails?lawId=60484
