"";"MP_links";"name";"family_name";"first_name";"party2";"party";"entity";"house";"party.original";"period"
"1";"https://www.parlament.ba/Delegate/List?page=1&mandateId=6";"Alma Colo";"Colo";"Alma";"Klub bosnjackog naroda";"SDA";"FBiH";"HoP";"SDA";"2006-2010"
"2";"https://www.parlament.ba/Delegate/List?page=1&mandateId=6";"Ilija Filipovic";"Filipovic";"Ilija";"Klub hrvatskog naroda";"HDZ";"FBiH";"HoP";"HDZ BiH";"2006-2010"
"3";"https://www.parlament.ba/Delegate/List?page=1&mandateId=6";"Adem Ibrahimpasic";"Ibrahimpasic";"Adem";"Klub bosnjackog naroda";"SDP";"FBiH";"HoP";"SDP BiH";"2006-2010"
"4";"https://www.parlament.ba/Delegate/List?page=1&mandateId=6";"Mladen Ivanic";"Ivanic";"Mladen";"Klub srpskog naroda";"PDP";"RS";"HoP";"PDP";"2006-2010"
"5";"https://www.parlament.ba/Delegate/List?page=1&mandateId=6";"Ivo Miro Jovic";"Jovic";"Ivo Miro";"Klub hrvatskog naroda";"HDZ";"FBiH";"HoP";"HDZ BiH";"2006-2010"
"6";"https://www.parlament.ba/Delegate/List?page=1&mandateId=6";"Zoran Koprivica";"Koprivica";"Zoran";"Klub srpskog naroda";"SNSD";"RS";"HoP";"SNSD";"2006-2010"
"7";"https://www.parlament.ba/Delegate/List?page=1&mandateId=6";"Drago Ljubicic";"Ljubicic";"Drago";"Klub srpskog naroda";"SNSD";"RS";"HoP";"SNSD";"2006-2010"
"8";"https://www.parlament.ba/Delegate/List?page=1&mandateId=6";"Bozo Ljubic";"Ljubic";"Bozo";"Klub hrvatskog naroda";"HDZ";"FBiH";"HoP";"HDZ 1990";"2006-2010"
"9";"https://www.parlament.ba/Delegate/List?page=1&mandateId=6";"Dusanka Majkic";"Majkic";"Dusanka";"Klub srpskog naroda";"SNSD";"RS";"HoP";"SNSD";"2006-2010"
"10";"https://www.parlament.ba/Delegate/List?page=1&mandateId=6";"Hilmo Neimarlija";"Neimarlija";"Hilmo";"Klub bosnjackog naroda";"SBiH";"FBiH";"HoP";"SBiH";"2006-2010"
"11";"https://www.parlament.ba/Delegate/List?page=1&mandateId=7";"Hasan Becirovic";"Becirovic";"Hasan";"Klub bosnjackog naroda";"SDP";"FBiH";"HoP";"SDP BiH";"2010-2014"
"12";"https://www.parlament.ba/Delegate/List?page=1&mandateId=7";"Mehmed Bradaric";"Bradaric";"Mehmed";"Klub bosnjackog naroda";"SDP";"FBiH";"HoP";"SDP BiH";"2010-2014"
"13";"https://www.parlament.ba/Delegate/List?page=1&mandateId=7";"Dragan Covic";"Covic";"Dragan";"Klub hrvatskog naroda";"HDZ";"FBiH";"HoP";"HDZ BiH";"2010-2014"
"14";"https://www.parlament.ba/Delegate/List?page=1&mandateId=7";"Halid Genjac";"Genjac";"Halid";"Klub bosnjackog naroda";"SDA";"FBiH";"HoP";"SDA";"2010-2014"
"15";"https://www.parlament.ba/Delegate/List?page=1&mandateId=7";"Seudin Hodzic";"Hodzic";"Seudin";"Klub bosnjackog naroda";"SDP";"FBiH";"HoP";"SDP BiH";"2010-2014"
"16";"https://www.parlament.ba/Delegate/List?page=1&mandateId=7";"Mladen Ivanic";"Ivanic";"Mladen";"Klub srpskog naroda";"PDP";"RS";"HoP";"PDP";"2010-2014"
"17";"https://www.parlament.ba/Delegate/List?page=1&mandateId=7";"Nermina Kapetanovic";"Kapetanovic";"Nermina";"Klub bosnjackog naroda";"SDA";"FBiH";"HoP";"SDA";"2010-2014"
"18";"https://www.parlament.ba/Delegate/List?page=1&mandateId=7";"Stasa Kosarac";"Kosarac";"Stasa";"Klub srpskog naroda";"SNSD";"RS";"HoP";"SNSD";"2010-2014"
"19";"https://www.parlament.ba/Delegate/List?page=1&mandateId=7";"Stjepan Kresic";"Kresic";"Stjepan";"Klub hrvatskog naroda";"HSP";"FBiH";"HoP";"HSP";"2010-2014"
"20";"https://www.parlament.ba/Delegate/List?page=1&mandateId=7";"Borjana Kristo";"Kristo";"Borjana";"Klub hrvatskog naroda";"HDZ";"FBiH";"HoP";"HDZ BiH";"2010-2014"
"21";"https://www.parlament.ba/Delegate/List?page=1&mandateId=8";"Darko Babalj";"Babalj";"Darko";"Klub srpskog naroda";"SDS";"RS";"HoP";"SDS";"2014-2018"
"22";"https://www.parlament.ba/Delegate/List?page=1&mandateId=8";"Barisa Colak";"Colak";"Barisa";"Klub hrvatskog naroda";"HDZ";"FBiH";"HoP";"HDZ BiH";"2014-2018"
"23";"https://www.parlament.ba/Delegate/List?page=1&mandateId=8";"Zdenka Dzambas";"Dzambas";"Zdenka";"Klub hrvatskog naroda";"HDZ";"FBiH";"HoP";"HDZ BiH";"2014-2018"
"24";"https://www.parlament.ba/Delegate/List?page=1&mandateId=8";"Halid Genjac";"Genjac";"Halid";"Klub bosnjackog naroda";"SDA";"FBiH";"HoP";"SDA";"2014-2018"
"25";"https://www.parlament.ba/Delegate/List?page=1&mandateId=8";"Sead Kadic";"Kadic";"Sead";"Klub bosnjackog naroda";"SDA";"FBiH";"HoP";"SDA";"2014-2018"
"26";"https://www.parlament.ba/Delegate/List?page=1&mandateId=8";"Mario Karamatic";"Karamatic";"Mario";"Klub hrvatskog naroda";"HSS";"FBiH";"HoP";"HSS";"2014-2018"
"27";"https://www.parlament.ba/Delegate/List?page=1&mandateId=8";"Sredoje Novic";"Novic";"Sredoje";"Klub srpskog naroda";"SNSD";"RS";"HoP";"SNSD";"2014-2018"
"28";"https://www.parlament.ba/Delegate/List?page=1&mandateId=8";"Sifet Podzic";"Podzic";"Sifet";"Klub bosnjackog naroda";"Demokratska";"FBiH";"HoP";"Demokratska fronta - Zeljko Komsic";"2014-2018"
"29";"https://www.parlament.ba/Delegate/List?page=1&mandateId=8";"Nebojsa Radmanovic";"Radmanovic";"Nebojsa";"Klub srpskog naroda";"SNSD";"RS";"HoP";"SNSD";"2014-2018"
"30";"https://www.parlament.ba/Delegate/List?page=1&mandateId=8";"Fahrudin Radoncic";"Radoncic";"Fahrudin";"Klub bosnjackog naroda";"SBB";"FBiH";"HoP";"SBB - Fahrudin Radoncic";"2014-2018"
"31";"https://www.parlament.ba/Delegate/List?page=2&mandateId=6";"Bozo Rajic";"Rajic";"Bozo";"Klub hrvatskog naroda";"HDZ";"FBiH";"HoP";"HDZ 1990";"2006-2010"
"32";"https://www.parlament.ba/Delegate/List?page=2&mandateId=6";"Hazim Rancic";"Rancic";"Hazim";"Klub bosnjackog naroda";"SDA";"FBiH";"HoP";"SDA";"2006-2010"
"33";"https://www.parlament.ba/Delegate/List?page=2&mandateId=6";"Slobodan Saraba";"Saraba";"Slobodan";"Klub srpskog naroda";"SDS";"RS";"HoP";"SDS";"2006-2010"
"34";"https://www.parlament.ba/Delegate/List?page=2&mandateId=6";"Sulejman Tihic";"Tihic";"Sulejman";"Klub bosnjackog naroda";"SDA";"FBiH";"HoP";"SDA";"2006-2010"
"35";"https://www.parlament.ba/Delegate/List?page=2&mandateId=6";"Branko Zrno";"Zrno";"Branko";"Klub hrvatskog naroda";"HDZ";"FBiH";"HoP";"HDZ BiH";"2006-2010"
"36";"https://www.parlament.ba/Delegate/List?page=2&mandateId=7";"Martin Raguz";"Raguz";"Martin";"Klub hrvatskog naroda";"HDZ";"FBiH";"HoP";"HDZ 1990";"2010-2014"
"37";"https://www.parlament.ba/Delegate/List?page=2&mandateId=7";"Dragutin Rodic";"Rodic";"Dragutin";"Klub srpskog naroda";"DNS";"RS";"HoP";"DNS";"2010-2014"
"38";"https://www.parlament.ba/Delegate/List?page=2&mandateId=7";"Krstan Simic";"Simic";"Krstan";"Klub srpskog naroda";"SNSD";"RS";"HoP";"SNSD";"2010-2014"
"39";"https://www.parlament.ba/Delegate/List?page=2&mandateId=7";"Ognjen Tadic";"Tadic";"Ognjen";"Klub srpskog naroda";"SDS";"RS";"HoP";"SDS";"2010-2014"
"40";"https://www.parlament.ba/Delegate/List?page=2&mandateId=7";"Sulejman Tihic";"Tihic";"Sulejman";"Klub bosnjackog naroda";"SDA";"FBiH";"HoP";"SDA";"2010-2014"
"41";"https://www.parlament.ba/Delegate/List?page=2&mandateId=7";"Krunoslav Vrdoljak";"Vrdoljak";"Krunoslav";"Klub hrvatskog naroda";"SDP";"FBiH";"HoP";"SDP BiH";"2010-2014"
"42";"https://www.parlament.ba/Delegate/List?page=2&mandateId=8";"Martin Raguz";"Raguz";"Martin";"Klub hrvatskog naroda";"HDZ";"FBiH";"HoP";"HDZ 1990";"2014-2018"
"43";"https://www.parlament.ba/Delegate/List?page=2&mandateId=8";"Dragutin Rodic";"Rodic";"Dragutin";"Klub srpskog naroda";"DNS";"RS";"HoP";"DNS";"2014-2018"
"44";"https://www.parlament.ba/Delegate/List?page=2&mandateId=8";"Safet Softic";"Softic";"Safet";"Klub bosnjackog naroda";"SDA";"FBiH";"HoP";"SDA";"2014-2018"
"45";"https://www.parlament.ba/Delegate/List?page=2&mandateId=8";"Ognjen Tadic";"Tadic";"Ognjen";"Klub srpskog naroda";"";"RS";"HoP";"";"2014-2018"
"46";"https://www.parlament.ba/Delegate/List?page=2&mandateId=8";"Ljilja Zovko";"Zovko";"Ljilja";"Klub hrvatskog naroda";"HDZ";"FBiH";"HoP";"HDZ BiH";"2014-2018"
