"";"MP_links";"name";"family_name";"first_name";"party2";"party";"constituency";"house";"entity";"party.original";"period"
"1";"https://www.parlament.ba/Representative/List?page=1&mandateId=6";"Ekrem Ajanovic";"Ajanovic";"Ekrem";"Klub poslanika SBiH";"SBiH";"FBiH / Izborna jedinica 4";"HoR";"FBiH";"SBiH";"2006-2010"
"2";"https://www.parlament.ba/Representative/List?page=1&mandateId=6";"Azra Alajbegovic";"Alajbegovic";"Azra";"Klub poslanika SBiH";"SBiH";"FBiH / Izborna jedinica 3";"HoR";"FBiH";"SBiH";"2006-2010"
"3";"https://www.parlament.ba/Representative/List?page=1&mandateId=6";"Sadik Bahtic";"Bahtic";"Sadik";"Klub poslanika SBiH";"SBiH";"FBiH / Izborna jedinica 1";"HoR";"FBiH";"SBiH";"2006-2010"
"4";"https://www.parlament.ba/Representative/List?page=1&mandateId=6";"Denis Becirovic";"Becirovic";"Denis";"Klub poslanika SDP BiH";"SDP BiH";"FBiH / Izborna jedinica 5";"HoR";"FBiH";"SDP BiH";"2006-2010"
"5";"https://www.parlament.ba/Representative/List?page=1&mandateId=6";"Beriz Belkic";"Belkic";"Beriz";"Klub poslanika SBiH";"SBiH";"FBiH / Izborna jedinica 3";"HoR";"FBiH";"SBiH";"2006-2010"
"6";"https://www.parlament.ba/Representative/List?page=1&mandateId=6";"Selim Beslagic";"Beslagic";"Selim";"Klub poslanika SDP BiH";"SDP BiH";"FBiH / Izborna jedinica 5";"HoR";"FBiH";"SDP BiH";"2006-2010"
"7";"https://www.parlament.ba/Representative/List?page=1&mandateId=6";"Branko Dokic";"Dokic";"Branko";"";"PDP";"RS / Izborna jedinica 1";"HoR";"RS";"PDP";"2006-2010"
"8";"https://www.parlament.ba/Representative/List?page=1&mandateId=6";"Rifat Dolic";"Dolic";"Rifat";"";"DNZ BiH";"FBiH / Izborna jedinica 1";"HoR";"FBiH";"DNZ BiH";"2006-2010"
"9";"https://www.parlament.ba/Representative/List?page=1&mandateId=6";"Sefik Dzaferovic";"Dzaferovic";"Sefik";"Klub poslanika SDA";"SDA";"FBiH / Izborna jedinica 4";"HoR";"FBiH";"SDA";"2006-2010"
"10";"https://www.parlament.ba/Representative/List?page=1&mandateId=6";"Halid Genjac";"Genjac";"Halid";"Klub poslanika SDA";"SDA";"FBiH / Izborna jedinica 4";"HoR";"FBiH";"SDA";"2006-2010"
"11";"https://www.parlament.ba/Representative/List?page=1&mandateId=7";"Darko Babalj";"Babalj";"Darko";"Klub poslanika SDS";"SDS";"RS / Izborna jedinica 3";"HoR";"RS";"SDS";"2010-2014"
"12";"https://www.parlament.ba/Representative/List?page=1&mandateId=7";"Adnan Basic";"Basic";"Adnan";"Klub poslanika SBBBiH";"SBB";"FBiH / Izborna jedinica 4";"HoR";"FBiH";"SBB - Fahrudin Radoncic";"2010-2014"
"13";"https://www.parlament.ba/Representative/List?page=1&mandateId=7";"Denis Becirovic";"Becirovic";"Denis";"Klub poslanika SDP BiH";"SDP BiH";"FBiH / Izborna jedinica 5";"HoR";"FBiH";"SDP BiH";"2010-2014"
"14";"https://www.parlament.ba/Representative/List?page=1&mandateId=7";"Beriz Belkic";"Belkic";"Beriz";"";"SBiH";"FBiH / Izborna jedinica 3";"HoR";"FBiH";"SBiH";"2010-2014"
"15";"https://www.parlament.ba/Representative/List?page=1&mandateId=7";"Borislav Bojic";"Bojic";"Borislav";"Klub poslanika SDS";"SDS";"RS / Izborna jedinica 1";"HoR";"RS";"SDS";"2010-2014"
"16";"https://www.parlament.ba/Representative/List?page=1&mandateId=7";"Mladen Bosic";"Bosic";"Mladen";"Klub poslanika SDS";"SDS";"RS / Izborna jedinica 2";"HoR";"RS";"SDS";"2010-2014"
"17";"https://www.parlament.ba/Representative/List?page=1&mandateId=7";"Sasa Bursac";"Bursac";"Sasa";"Klub poslanika SNSD";"SNSD";"RS / Izborna jedinica 1";"HoR";"RS";"SNSD";"2010-2014"
"18";"https://www.parlament.ba/Representative/List?page=1&mandateId=7";"Nermina Cemalovic";"Cemalovic";"Nermina";"Klub poslanika SDP BiH";"SDP BiH";"FBiH / Izborna jedinica 1";"HoR";"FBiH";"SDP BiH";"2010-2014"
"19";"https://www.parlament.ba/Representative/List?page=1&mandateId=7";"Ismeta Dervoz";"Dervoz";"Ismeta";"Klub poslanika SBBBiH";"SBB";"FBiH / Izborna jedinica 3";"HoR";"FBiH";"SBB - Fahrudin Radoncic";"2010-2014"
"20";"https://www.parlament.ba/Representative/List?page=1&mandateId=7";"Anto Domazet";"Domazet";"Anto";"Klub poslanika SDP BiH";"SDP BiH";"FBiH / Izborna jedinica 3";"HoR";"FBiH";"SDP BiH";"2010-2014"
"21";"https://www.parlament.ba/Representative/List?page=1&mandateId=8";"Sadik Ahmetovic";"Ahmetovic";"Sadik";"Klub poslanika Nezavisni blok";"independent";"RS / Izborna jedinica 3";"HoR";"RS";"Samostalni poslanik";"2014-2018"
"22";"https://www.parlament.ba/Representative/List?page=1&mandateId=8";"Damir Arnaut";"Arnaut";"Damir";"Klub poslanika SBBBiH";"SBB";"FBiH / Izborna jedinica 3";"HoR";"FBiH";"SBB - Fahrudin Radoncic";"2014-2018"
"23";"https://www.parlament.ba/Representative/List?page=1&mandateId=8";"Zaim Backovic";"Backovic";"Zaim";"";"BPS";"FBiH / Izborna jedinica 3";"HoR";"FBiH";"BPS - Sefer Halilovic";"2014-2018"
"24";"https://www.parlament.ba/Representative/List?page=1&mandateId=8";"Damir Becirovic";"Becirovic";"Damir";"Klub poslanika DF";"DF";"FBiH / Izborna jedinica 5";"HoR";"FBiH";"Demokratska fronta - Zeljko Komsic";"2014-2018"
"25";"https://www.parlament.ba/Representative/List?page=1&mandateId=8";"Denis Becirovic";"Becirovic";"Denis";"Klub poslanika SDP BiH";"SDP BiH";"FBiH / Izborna jedinica 5";"HoR";"FBiH";"SDP BiH";"2014-2018"
"26";"https://www.parlament.ba/Representative/List?page=1&mandateId=8";"Mensura Beganovic";"Beganovic";"Mensura";"Klub poslanika DF";"DF";"FBiH / Izborna jedinica 4";"HoR";"FBiH";"Demokratska fronta - Zeljko Komsic";"2014-2018"
"27";"https://www.parlament.ba/Representative/List?page=1&mandateId=8";"Borislav Bojic";"Bojic";"Borislav";"Klub poslanika Demokratski narodni savez - DNS";"independent";"RS / Izborna jedinica 1";"HoR";"RS";"Samostalni poslanik";"2014-2018"
"28";"https://www.parlament.ba/Representative/List?page=1&mandateId=8";"Mladen Bosic";"Bosic";"Mladen";"Klub poslanika SDS";"SDS";"RS / Izborna jedinica 2";"HoR";"RS";"SDS";"2014-2018"
"29";"https://www.parlament.ba/Representative/List?page=1&mandateId=8";"Safer Demirovic";"Demirovic";"Safer";"";"independent";"FBiH / Izborna jedinica 5";"HoR";"FBiH";"Samostalni poslanik";"2014-2018"
"30";"https://www.parlament.ba/Representative/List?page=1&mandateId=8";"Sefik Dzaferovic";"Dzaferovic";"Sefik";"Klub poslanika SDA";"SDA";"FBiH / Izborna jedinica 4";"HoR";"FBiH";"SDA";"2014-2018"
"31";"https://www.parlament.ba/Representative/List?page=2&mandateId=6";"Azra Hadziahmetovic";"Hadziahmetovic";"Azra";"Klub poslanika SBiH";"SBiH";"FBiH / Izborna jedinica 3";"HoR";"FBiH";"SBiH";"2006-2010"
"32";"https://www.parlament.ba/Representative/List?page=2&mandateId=6";"Sefer Halilovic";"Halilovic";"Sefer";"";"BPS";"FBiH / Izborna jedinica 3";"HoR";"FBiH";"BPS - Sefer Halilovic";"2006-2010"
"33";"https://www.parlament.ba/Representative/List?page=2&mandateId=6";"Adem Huskic";"Huskic";"Adem";"Klub poslanika SBiH";"SBiH";"FBiH / Izborna jedinica 4";"HoR";"FBiH";"SBiH";"2006-2010"
"34";"https://www.parlament.ba/Representative/List?page=2&mandateId=6";"Jerko Ivankovic Lijanovic";"Ivankovic Lijanovic";"Jerko";"";"NS Radom za boljitak";"FBiH / Izborna jedinica 2";"HoR";"FBiH";"NS Radom za boljitak";"2006-2010"
"35";"https://www.parlament.ba/Representative/List?page=2&mandateId=6";"Bakir Izetbegovic";"Izetbegovic";"Bakir";"Klub poslanika SDA";"SDA";"FBiH / Izborna jedinica 3";"HoR";"FBiH";"SDA";"2006-2010"
"36";"https://www.parlament.ba/Representative/List?page=2&mandateId=6";"Sead Jamakosmanovic";"Jamakosmanovic";"Sead";"Klub poslanika SDA";"SDA";"FBiH / Izborna jedinica 5";"HoR";"FBiH";"SDA";"2006-2010"
