seq_page_links;link_to_voting_record;law_id;record_id
http://parlament.ba/olaw/OLawDetails?lawId=61794;http://parlament.ba/oLaw/GetOwisDocument/?documentId=204356&data=4AC271624284411F48F4F09A5319B133&lang=bs;61794;204356
http://parlament.ba/olaw/OLawDetails?lawId=61794;http://parlament.ba/oLaw/GetOwisDocument/?documentId=206164&data=10788B4568269048D57D8F644F829519&lang=bs;61794;206164
http://parlament.ba/olaw/OLawDetails?lawId=61566;http://parlament.ba/oLaw/GetOwisDocument/?documentId=201837&data=6ABC119AC2691107839E5D1A04CBAB12&lang=bs;61566;201837
http://parlament.ba/olaw/OLawDetails?lawId=61566;http://parlament.ba/oLaw/GetOwisDocument/?documentId=201838&data=A7F6EAFD2B76F3F4A7F9370EEE6266DE&lang=bs;61566;201838
http://parlament.ba/olaw/OLawDetails?lawId=61565;http://parlament.ba/oLaw/GetOwisDocument/?documentId=201824&data=5D6522ED4AD84AC734947B619B821914&lang=bs;61565;201824
http://parlament.ba/olaw/OLawDetails?lawId=61565;http://parlament.ba/oLaw/GetOwisDocument/?documentId=201825&data=66A251EE8272F76CD4563213F5B76864&lang=bs;61565;201825
http://parlament.ba/olaw/OLawDetails?lawId=61443;http://parlament.ba/oLaw/GetOwisDocument/?documentId=200593&data=A550CC4E39C0FE92C2480A9462085D2F&lang=bs;61443;200593
http://parlament.ba/olaw/OLawDetails?lawId=61443;http://parlament.ba/oLaw/GetOwisDocument/?documentId=200594&data=E159BE9D89D82B8938C4E0DF614287A3&lang=bs;61443;200594
http://parlament.ba/olaw/OLawDetails?lawId=61443;http://parlament.ba/oLaw/GetOwisDocument/?documentId=200595&data=4FD67FD4F1A76D9DCE0510AC4E6D44AE&lang=bs;61443;200595
http://parlament.ba/olaw/OLawDetails?lawId=61443;http://parlament.ba/oLaw/GetOwisDocument/?documentId=200596&data=90F3A651F11AC5F67DE10692A5FCE351&lang=bs;61443;200596
http://parlament.ba/olaw/OLawDetails?lawId=61443;http://parlament.ba/oLaw/GetOwisDocument/?documentId=206170&data=4173BF5ED9E80EC994B3BDE165E7E5B2&lang=bs;61443;206170
http://parlament.ba/olaw/OLawDetails?lawId=61422;http://parlament.ba/oLaw/GetOwisDocument/?documentId=204399&data=F522FCEBE6D8BC35DBBEE4807EF8560B&lang=bs;61422;204399
http://parlament.ba/olaw/OLawDetails?lawId=61221;http://parlament.ba/oLaw/GetOwisDocument/?documentId=200617&data=87567930D58D088125FA9AA28980E009&lang=bs;61221;200617
http://parlament.ba/olaw/OLawDetails?lawId=61221;http://parlament.ba/oLaw/GetOwisDocument/?documentId=200618&data=EA932154B3040B3D2181B6E0F820B170&lang=bs;61221;200618
http://parlament.ba/olaw/OLawDetails?lawId=61221;http://parlament.ba/oLaw/GetOwisDocument/?documentId=202301&data=C7BFD634CB94877CFFDBFD18CB99F009&lang=bs;61221;202301
http://parlament.ba/olaw/OLawDetails?lawId=61221;http://parlament.ba/oLaw/GetOwisDocument/?documentId=217970&data=C3ACC1C6038E04CED6C127D49C7D63E3&lang=bs;61221;217970
http://parlament.ba/olaw/OLawDetails?lawId=61221;http://parlament.ba/oLaw/GetOwisDocument/?documentId=217971&data=F25B76DEF06C5A73B813CB76B675868F&lang=bs;61221;217971
http://parlament.ba/olaw/OLawDetails?lawId=61221;http://parlament.ba/oLaw/GetOwisDocument/?documentId=218273&data=15985F25E6D1480038F895E16115B4AE&lang=bs;61221;218273
http://parlament.ba/olaw/OLawDetails?lawId=61221;http://parlament.ba/oLaw/GetOwisDocument/?documentId=218274&data=CD5E19D7F15DD834CE80426805BA9CD3&lang=bs;61221;218274
http://parlament.ba/olaw/OLawDetails?lawId=60882;http://parlament.ba/oLaw/GetOwisDocument/?documentId=198480&data=14E50E82221385368CB1BB2C56EDA2E3&lang=bs;60882;198480
http://parlament.ba/olaw/OLawDetails?lawId=60882;http://parlament.ba/oLaw/GetOwisDocument/?documentId=198481&data=AB1685E174215B71D6735A3EF6E5F29C&lang=bs;60882;198481
http://parlament.ba/olaw/OLawDetails?lawId=60882;http://parlament.ba/oLaw/GetOwisDocument/?documentId=200621&data=498F228DC308BF9AC1A3B1880787CC1A&lang=bs;60882;200621
http://parlament.ba/olaw/OLawDetails?lawId=60882;http://parlament.ba/oLaw/GetOwisDocument/?documentId=207717&data=C6B2103B7C86187CCB5DA3CFE08A6611&lang=bs;60882;207717
http://parlament.ba/olaw/OLawDetails?lawId=60881;http://parlament.ba/oLaw/GetOwisDocument/?documentId=198522&data=A33685B1CB843AEC1EE5707FC51AF21D&lang=bs;60881;198522
http://parlament.ba/olaw/OLawDetails?lawId=60881;http://parlament.ba/oLaw/GetOwisDocument/?documentId=198524&data=1BD01732497D3014C01CC9E10914E90D&lang=bs;60881;198524
