seq_page_links;heading;content;house
http://parlament.ba/olaw/OLawDetails?lawId=61794;Naziv dokumenta;Prijedlog zakona o izmjenama i dopunama Zakona o akcizama u Bosni i Hercegovini;PS
http://parlament.ba/olaw/OLawDetails?lawId=61794;Saziv;VII. (2014. - 2018.);PS
http://parlament.ba/olaw/OLawDetails?lawId=61794;Broj i datum Prijedloga zakona u PDPSBiH;01-02-1-1453/18, od 18.6.2018.;PS
http://parlament.ba/olaw/OLawDetails?lawId=61794;Predlagač u PDPSBiH;Mladen Bosić, Aleksandra Pandurević, Nenad Lalić, Momčilo Novaković;PS
http://parlament.ba/olaw/OLawDetails?lawId=61794;Status u PDPSBiH;Odbijen;PS
http://parlament.ba/olaw/OLawDetails?lawId=61794;Red. br. i datum sjednice - tačka dnevnog reda;63.,   5.7.2018.,  26.7.2018. Ad. 2.;PS
http://parlament.ba/olaw/OLawDetails?lawId=61794;Konačni status u PSBiH;Odbijen;PS
http://parlament.ba/olaw/OLawDetails?lawId=61794;Saziv;VII. (2014. - 2018.);DP
http://parlament.ba/olaw/OLawDetails?lawId=61794;Naziv dokumenta;Prijedlog zakona o izmjenama i dopunama Zakona o akcizama u Bosni i Hercegovini;DP
http://parlament.ba/olaw/OLawDetails?lawId=61794;Broj i datum Prijedloga zakona;01-02-1-1453/18, od 18.6.2018.;DP
http://parlament.ba/olaw/OLawDetails?lawId=61794;Predlagač;Mladen Bosić, Aleksandra Pandurević, Nenad Lalić, Momčilo Novaković;DP
http://parlament.ba/olaw/OLawDetails?lawId=61794;Postupak u PDPSBiH;Hitni;DP
http://parlament.ba/olaw/OLawDetails?lawId=61794;Status i faza postupka;Odbijen - PZ odbijen - nakon usvajanja zahtjeva za hitni postupak;DP
http://parlament.ba/olaw/OLawDetails?lawId=61566;Naziv dokumenta;Prijedlog zakona o izmjenama Zakona o Javnom radiotelevizijskom servisu Bosne i Hercegovine;PS
http://parlament.ba/olaw/OLawDetails?lawId=61566;Saziv;VII. (2014. - 2018.);PS
http://parlament.ba/olaw/OLawDetails?lawId=61566;Broj i datum Prijedloga zakona u PDPSBiH;01-02-1-1292/18, od 28.5.2018.;PS
http://parlament.ba/olaw/OLawDetails?lawId=61566;Predlagač u PDPSBiH;Mladen Bosić, Aleksandra Pandurević, Nenad Lalić, Momčilo Novaković;PS
http://parlament.ba/olaw/OLawDetails?lawId=61566;Status u PDPSBiH;Procedura;PS
http://parlament.ba/olaw/OLawDetails?lawId=61566;Red. br. i datum sjednice - tačka dnevnog reda;66.,   3.9.2018. Ad. 6.;PS
http://parlament.ba/olaw/OLawDetails?lawId=61566;Konačni status u PSBiH;Procedura - nije preuzet;PS
http://parlament.ba/olaw/OLawDetails?lawId=61566;Saziv;VII. (2014. - 2018.);DP
http://parlament.ba/olaw/OLawDetails?lawId=61566;Naziv dokumenta;Prijedlog zakona o izmjenama Zakona o Javnom radiotelevizijskom servisu Bosne i Hercegovine;DP
http://parlament.ba/olaw/OLawDetails?lawId=61566;Broj i datum Prijedloga zakona;01-02-1-1292/18, od 28.5.2018.;DP
http://parlament.ba/olaw/OLawDetails?lawId=61566;Predlagač;Mladen Bosić, Aleksandra Pandurević, Nenad Lalić, Momčilo Novaković;DP
http://parlament.ba/olaw/OLawDetails?lawId=61566;Postupak u PDPSBiH;Redovni;DP
http://parlament.ba/olaw/OLawDetails?lawId=61566;Nadležna komisija;Komisija za saobraćaj i komunikacije;DP
http://parlament.ba/olaw/OLawDetails?lawId=61565;Naziv dokumenta;Prijedlog zakona o izmjenama Zakona o Javnom radiotelevizijskom sistemu Bosne i Hercegovine;PS
http://parlament.ba/olaw/OLawDetails?lawId=61565;Saziv;VII. (2014. - 2018.);PS
http://parlament.ba/olaw/OLawDetails?lawId=61565;Broj i datum Prijedloga zakona u PDPSBiH;01-02-1-1291/18, od 28.5.2018.;PS
http://parlament.ba/olaw/OLawDetails?lawId=61565;Predlagač u PDPSBiH;Mladen Bosić, Aleksandra Pandurević, Nenad Lalić, Momčilo Novaković;PS
http://parlament.ba/olaw/OLawDetails?lawId=61565;Status u PDPSBiH;Procedura;PS
http://parlament.ba/olaw/OLawDetails?lawId=61565;Red. br. i datum sjednice - tačka dnevnog reda;66.,   3.9.2018. Ad. 5.;PS
http://parlament.ba/olaw/OLawDetails?lawId=61565;Konačni status u PSBiH;Procedura - nije preuzet;PS
http://parlament.ba/olaw/OLawDetails?lawId=61565;Saziv;VII. (2014. - 2018.);DP
http://parlament.ba/olaw/OLawDetails?lawId=61565;Naziv dokumenta;Prijedlog zakona o izmjenama Zakona o Javnom radiotelevizijskom sistemu Bosne i Hercegovine;DP
http://parlament.ba/olaw/OLawDetails?lawId=61565;Broj i datum Prijedloga zakona;01-02-1-1291/18, od 28.5.2018.;DP
http://parlament.ba/olaw/OLawDetails?lawId=61565;Predlagač;Mladen Bosić, Aleksandra Pandurević, Nenad Lalić, Momčilo Novaković;DP
http://parlament.ba/olaw/OLawDetails?lawId=61565;Postupak u PDPSBiH;Redovni;DP
http://parlament.ba/olaw/OLawDetails?lawId=61565;Nadležna komisija;Komisija za saobraćaj i komunikacije;DP
http://parlament.ba/olaw/OLawDetails?lawId=61443;Naziv dokumenta;Prijedlog zakona o izmjeni i dopuni Zakona o zastavi Bosne i Hercegovine;PS
http://parlament.ba/olaw/OLawDetails?lawId=61443;Saziv;VII. (2014. - 2018.);PS
http://parlament.ba/olaw/OLawDetails?lawId=61443;Broj i datum Prijedloga zakona u PDPSBiH;01-02-1-1206/18, od 16.5.2018.;PS
http://parlament.ba/olaw/OLawDetails?lawId=61443;Predlagač u PDPSBiH;Saša Magazinović;PS
http://parlament.ba/olaw/OLawDetails?lawId=61443;Status u PDPSBiH;Procedura;PS
http://parlament.ba/olaw/OLawDetails?lawId=61443;Red. br. i datum sjednice - tačka dnevnog reda;;PS
http://parlament.ba/olaw/OLawDetails?lawId=61443;Konačni status u PSBiH;Procedura - nije preuzet;PS
http://parlament.ba/olaw/OLawDetails?lawId=61443;Saziv;VII. (2014. - 2018.);DP
http://parlament.ba/olaw/OLawDetails?lawId=61443;Naziv dokumenta;Prijedlog zakona o izmjeni i dopuni Zakona o zastavi Bosne i Hercegovine;DP
http://parlament.ba/olaw/OLawDetails?lawId=61443;Broj i datum Prijedloga zakona;01-02-1-1206/18, od 16.5.2018.;DP
http://parlament.ba/olaw/OLawDetails?lawId=61443;Predlagač;Saša Magazinović;DP
http://parlament.ba/olaw/OLawDetails?lawId=61443;Postupak u PDPSBiH;Skraćeni;DP
http://parlament.ba/olaw/OLawDetails?lawId=61443;Nadležna komisija;Ustavnopravna komisija;DP
http://parlament.ba/olaw/OLawDetails?lawId=61425;Naziv dokumenta;Prijedlog zakona o izmjeni Zakona o akcizama u Bosni i Hercegovini;PS
http://parlament.ba/olaw/OLawDetails?lawId=61425;Saziv;VII. (2014. - 2018.);PS
http://parlament.ba/olaw/OLawDetails?lawId=61425;Broj i datum Prijedloga zakona u PDPSBiH;01-02-1-1192/18, od 15.5.2018.;PS
http://parlament.ba/olaw/OLawDetails?lawId=61425;Predlagač u PDPSBiH;Senad Šepić, Salko Sokolović, Sadik Ahmetović;PS
http://parlament.ba/olaw/OLawDetails?lawId=61425;Status u PDPSBiH;Procedura;PS
http://parlament.ba/olaw/OLawDetails?lawId=61425;Red. br. i datum sjednice - tačka dnevnog reda;66.,   3.9.2018. Ad. 4.;PS
http://parlament.ba/olaw/OLawDetails?lawId=61425;Konačni status u PSBiH;Procedura - nije preuzet;PS
http://parlament.ba/olaw/OLawDetails?lawId=61425;Saziv;VII. (2014. - 2018.);DP
http://parlament.ba/olaw/OLawDetails?lawId=61425;Naziv dokumenta;Prijedlog zakona o izmjeni Zakona o akcizama u Bosni i Hercegovini;DP
http://parlament.ba/olaw/OLawDetails?lawId=61425;Broj i datum Prijedloga zakona;01-02-1-1192/18, od 15.5.2018.;DP
http://parlament.ba/olaw/OLawDetails?lawId=61425;Predlagač;Senad Šepić, Salko Sokolović, Sadik Ahmetović;DP
http://parlament.ba/olaw/OLawDetails?lawId=61425;Postupak u PDPSBiH;Redovni;DP
http://parlament.ba/olaw/OLawDetails?lawId=61425;Nadležna komisija;Komisija za finansije i budžet;DP
http://parlament.ba/olaw/OLawDetails?lawId=61422;Naziv dokumenta;Prijedlog zakona o dopuni Zakona o plaćama i naknadama u institucijama Bosne i Hercegovine;PS
http://parlament.ba/olaw/OLawDetails?lawId=61422;Saziv;VII. (2014. - 2018.);PS
http://parlament.ba/olaw/OLawDetails?lawId=61422;Broj i datum Prijedloga zakona u PDPSBiH;01-02-1-1189/18, od 15.5.2018.;PS
http://parlament.ba/olaw/OLawDetails?lawId=61422;Predlagač u PDPSBiH;Maja Gasal - Vražalica;PS
http://parlament.ba/olaw/OLawDetails?lawId=61422;Status u PDPSBiH;Procedura;PS
http://parlament.ba/olaw/OLawDetails?lawId=61422;Red. br. i datum sjednice - tačka dnevnog reda;68.,   3.9.2018. Ad. 3.;PS
http://parlament.ba/olaw/OLawDetails?lawId=61422;Konačni status u PSBiH;Procedura - nije preuzet;PS
http://parlament.ba/olaw/OLawDetails?lawId=61422;Saziv;VII. (2014. - 2018.);DP
http://parlament.ba/olaw/OLawDetails?lawId=61422;Naziv dokumenta;Prijedlog zakona o dopuni Zakona o plaćama i naknadama u institucijama Bosne i Hercegovine;DP
http://parlament.ba/olaw/OLawDetails?lawId=61422;Broj i datum Prijedloga zakona;01-02-1-1189/18, od 15.5.2018.;DP
http://parlament.ba/olaw/OLawDetails?lawId=61422;Predlagač;Maja Gasal - Vražalica;DP
http://parlament.ba/olaw/OLawDetails?lawId=61422;Postupak u PDPSBiH;Redovni;DP
http://parlament.ba/olaw/OLawDetails?lawId=61422;Nadležna komisija;Komisija za finansije i budžet;DP
http://parlament.ba/olaw/OLawDetails?lawId=61404;Naziv dokumenta;Prijedlog zakona o dopunama Zakona o zastavi Bosne i Hercegovine;PS
http://parlament.ba/olaw/OLawDetails?lawId=61404;Saziv;VII. (2014. - 2018.);PS
http://parlament.ba/olaw/OLawDetails?lawId=61404;Broj i datum Prijedloga zakona u PDPSBiH;01-02-1-1177/18, od 14.5.2018.;PS
http://parlament.ba/olaw/OLawDetails?lawId=61404;Predlagač u PDPSBiH;Saša Magazinović;PS
http://parlament.ba/olaw/OLawDetails?lawId=61404;Status u PDPSBiH;Povučen;PS
